id,ideia_resumo,apps_semelhantes,RN_camera,RN_maps,RN_notificacoes,RN_autenticacao,RN_pagamentos,Complexidade,Alertas_etico_legais
1,Rede social de imagens (Snapchat + Instagram),Instagram; Snapchat,Sim,Não,Sim,Sim,Não,Média-Alta,LGPD (dados pessoais/sensíveis); Moderação de conteúdo
2,Sem ideia (indefinido),,Não,Não,Não,Não,Não,Média-Alta,
3,Rede de conhecimento em TI com avaliação,Stack Overflow; Dev.to,Não,Não,Não,Sim,Não,Média-Alta,
4,Aprendizado prático e atualizado em TI,Khan Academy; Alura,Não,Não,Sim,Sim,Não,Média,
5,Edu infantil gamificada com avatares,Khan Kids; Duolingo Kids,Não,Não,Não,Sim,Não,Média-Alta,
6,Jogo para grande público,Roblox; Stumble Guys,Não,Não,Sim,Sim,Não,Média,
7,Leitura colaborativa + troca de livros,Skoob; Goodreads,Não,Não,Não,Sim,Não,Média,
8,Agregador de eventos da cidade/estado,Sympla; Eventbrite,Não,Sim,Sim,Sim,Não,Média,Coleta de localização; segurança do usuário
9,Detectar humor/estresse e sugerir ajuda,Wysa; MindDoc,Sim,Não,Não,Sim,Não,Média,
10,Relacionamento voltado para homens,Tinder; Bumble,Não,Não,Não,Sim,Não,Média,LGPD (dados pessoais/sensíveis)
11,Utilitário não especificado,,Não,Não,Não,Não,Não,Média,
12,Jogos entre amigos (diversão/desafios),Google Play Games; Game Center,Não,Não,Sim,Sim,Não,Média,
13,Concorrente de YouTube,YouTube; Rumble,Não,Não,Não,Sim,Não,Alta,
14,Busca de mercadorias multi-lojista,Mercado Livre; Buscapé,Não,Não,Não,Sim,Sim,Média-Alta,
15,Rotina para estabilizar saúde mental,Headspace; Calm,Sim,Não,Sim,Sim,Não,Média,LGPD (dados pessoais/sensíveis); Regulação saúde/telemedicina; consentimento
16,Agenda para empreendedores,Google Agenda; Calendly,Não,Não,Não,Sim,Não,Média,
17,Controle de recebimento de encomendas,17Track; Muambator,Não,Não,Não,Sim,Não,Média,
18,Jogo de fases com prêmios em dinheiro,CashQuiz; Skillz,Não,Não,Sim,Sim,Sim,Média,
19,Guia de vida (bem-estar + gestão),Fabulous; Finch,Sim,Não,Não,Sim,Não,Média-Alta,
20,Sem ideia (indefinido),,Não,Não,Não,Não,Não,Média-Alta,
21,Estudo por perguntas geradas de textos,Quizlet; Anki,Não,Não,Sim,Sim,Não,Média,
22,Caronas particulares,BlaBlaCar; 99Poupa (conceito),Não,Sim,Não,Sim,Sim,Alta,Coleta de localização; segurança do usuário
23,Jogo competitivo sobre academia,Strava; Fitocracy,Não,Não,Sim,Sim,Não,Média-Alta,
24,Renda extra local/digital (serviços),GetNinjas; Workana,Não,Não,Não,Sim,Sim,Média,Pagamentos/anti-fraude; KYC/AML
25,Transporte por app exclusivo para mulheres,Lady Driver; FemiTaxi,Não,Sim,Não,Sim,Sim,Alta,
26,Controle de água e hábitos de saúde,Water Reminder; Plant Nanny,Não,Não,Sim,Sim,Não,Baixa,LGPD (dados pessoais/sensíveis); Regulação saúde/telemedicina; consentimento
27,Sem ideia (projetos pessoais),,Não,Não,Não,Não,Não,Média-Alta,
28,App com cursos variados,Coursera; Udemy,Não,Não,Sim,Sim,Sim,Média-Alta,
29,Verificação de antecedentes para encontros,CheckPeople; Serasa,Não,Não,Não,Sim,Não,Média,
30,Cassino social sem dinheiro real,Mistplay; Huuuge,Não,Não,Não,Sim,Sim,Média-Alta,Jogo responsável; restrições etárias
31,Avaliar produto e sugerir nichos/lugares,OLX Pro; Google Trends,Sim,Não,Não,Sim,Não,Média-Alta,
32,Presença por QR + geolocalização em aulas,iDoceo Attendance; Classroom (QR),Sim,Sim,Não,Sim,Não,Média,Coleta de localização; segurança do usuário; LGPD (dados pessoais/sensíveis)
33,Avaliação de séries tipo Letterboxd,TV Time; Letterboxd,Não,Não,Não,Sim,Não,Média-Alta,
34,AR+IA para revelar informações de pessoas,—,Sim,Não,Não,Sim,Não,Alta,Risco ético (reconhecimento/identificação)
35,Ranking de preços de fornecedores por região,Buscapé; Cotação Simples,Não,Sim,Não,Sim,Não,Média-Alta,Scraping/TOS; uso de dados de terceiros
36,Sem ideia,,Não,Não,Não,Não,Não,Média-Alta,
37,Jogo de ritmo 2D com combate,Cytus; Muse Dash,Não,Não,Sim,Sim,Não,Média,
38,Tinder-like (1),Tinder,Não,Não,Não,Sim,Não,Média,
39,Tinder-like (2),Tinder,Não,Não,Não,Sim,Não,Média,
40,Ensinar gírias locais a estrangeiros,Duolingo; Lingopie,Sim,Sim,Não,Sim,Não,Média-Alta,
41,Plano de estudos diário do roadmap.sh,roadmap.sh; Codecademy Paths,Não,Não,Sim,Sim,Não,Média,
42,Horários de medicamentos (idosos),Medisafe; CareClinic,Não,Não,Sim,Sim,Não,Média,LGPD (dados pessoais/sensíveis); Regulação saúde/telemedicina; consentimento
43,Ler QR/menu e sugerir opções/gasto mínimo,Google Lens; Yelp,Sim,Não,Não,Sim,Não,Média,
44,Marcar consultas médicas online,Dr.Consulta; Conexa Saúde,Sim,Não,Sim,Sim,Não,Alta,LGPD (dados pessoais/sensíveis); Regulação saúde/telemedicina; consentimento
45,Saúde mental com IA e hábitos,Wysa; Woebot,Não,Não,Sim,Sim,Não,Média-Alta,LGPD (dados pessoais/sensíveis); Regulação saúde/telemedicina; consentimento
